Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,,Directory
Fermanagh and South Tyrone,4,92,Pat,COX,,21,Independent,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,93,Kenny,DONALDSON,,26,Ulster Unionist Party,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,94,Alex,ELLIOTT,,141,Traditional Unionist Voice,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,95,Tom,ELLIOTT,,26,Ulster Unionist Party,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,96,Phil,FLANAGAN,,24,Sinn Fein,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,97,Arlene,FOSTER,,20,Democratic Unionist Party,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,98,Tommy,GALLAGHER,,23,Social Democratic and Labour Party,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,99,Michelle,GILDERNEW,,24,Sinn Fein,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,100,Sean,LYNCH,,24,Sinn Fein,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,101,Maurice,MORROW,,20,Democratic Unionist Party,,fermanagh-south-tyrone
Fermanagh and South Tyrone,4,102,Hannah,SU,,19,Alliance Party,,fermanagh-south-tyrone
