Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Foyle,5,104,Maurice,DEVENNEY,0,21,Independent,,foyle,M
Foyle,5,105,Gerard,DIVER,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,106,Mark H,DURKAN,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,107,Colum,EASTWOOD,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,108,Mary,HASSAN,0,111,Green Party,,foyle,F
Foyle,5,109,Julia,KEE,0,26,Ulster Unionist Party,,foyle,F
Foyle,5,110,John,LINDSAY,0,993,Cannabis Is Safer Than Alcohol,,foyle,M
Foyle,5,111,Eamonn,MCCANN,0,999,People Before Profit Alliance,,foyle,M
Foyle,5,112,Raymond,MCCARTNEY,1,24,Sinn Fein,,foyle,M
Foyle,5,113,Chris,MCCAW,0,19,Alliance Party,,foyle,M
Foyle,5,114,Ann,MCCLOSKEY,0,21,Independent,,foyle,F
Foyle,5,115,Martin,MCGUINNESS,1,24,Sinn Fein,,foyle,M
Foyle,5,116,Maeve,MCLOUGHLIN,1,24,Sinn Fein,,foyle,F
Foyle,5,117,Gary,MIDDLETON,1,20,Democratic Unionist Party,,foyle,M
