Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender,Twitter,Email
Foyle,5,112,Kathleen,BRADLEY,0,21,Independent,,foyle,F,,
Foyle,5,113,Maurice,DEVENNEY,0,21,Independent,,foyle,M,,
Foyle,5,114,Gerard,DIVER,1,23,Social Democratic and Labour Party,,foyle,M,@GerardDiver1,
Foyle,5,115,Alan,DUNLOP,0,991,NI Conservatives,,foyle,M,@Alan4SAntrim,
Foyle,5,116,Mark H,DURKAN,1,23,Social Democratic and Labour Party,,foyle,M,@MarkHDurkan,
Foyle,5,117,Colum,EASTWOOD,1,23,Social Democratic and Labour Party,,foyle,M,@columeastwood,
Foyle,5,118,Mary,HASSAN,0,111,Green Party,,foyle,F,@maryhassan101,
Foyle,5,119,Julia,KEE,0,26,Ulster Unionist Party,,foyle,F,@JuliaEKee,
Foyle,5,120,John,LINDSAY,0,993,Cannabis Is Safer Than Alcohol,,foyle,M,,
Foyle,5,121,Eamonn,MCCANN,0,999,People Before Profit Alliance,,foyle,M,@eamonderry,
Foyle,5,122,Raymond,MCCARTNEY,1,24,Sinn Fein,,foyle,M,@RaymondMcCartn1,sfassembly@hotmail.com
Foyle,5,123,Chris,MCCAW,0,19,Alliance Party,,foyle,M,@chrismccaw_ni,
Foyle,5,124,Anne,MCCLOSKEY,0,21,Independent,,foyle,F,,
Foyle,5,125,Martin,MCGUINNESS,1,24,Sinn Fein,,foyle,M,@M_McGuinness_SF,sfassembly@hotmail.com
Foyle,5,126,Maeve,MCLAUGHLIN,1,24,Sinn Fein,,foyle,F,@MaeveMcLaughli1,sfassembly@hotmail.com
Foyle,5,127,Gary,MIDDLETON,1,20,Democratic Unionist Party,,foyle,M,@Gary_Middleton,
