Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender,Twitter,Email
Upper Bann,16,8150,Doug,Beattie,1,26,Ulster Unionist Party,,upper-bann,Male,BeattieDoug,doug.beattie@mla.niassembly.gov.uk
Upper Bann,16,19683,Jonathan,Buckley,,20,Democratic Unionist Party,,upper-bann,Male,JBuckleyDUP,
Upper Bann,16,19743,Colin,Craig,,998,Workers Party,,upper-bann,Male,,
Upper Bann,16,4677,Jo-Anne,Dobson,1,26,Ulster Unionist Party,,upper-bann,female,JoAnne_Dobson,jo-anne.dobson@mla.niassembly.gov.uk
Upper Bann,16,19744,Tara,Doyle,,19,Alliance Party,,upper-bann,Female,Alliance_UpBann,
Upper Bann,16,12443,Roy,Ferguson,,141,Traditional Unionist Voice,,upper-bann,Male,,
Upper Bann,16,699,Dolores,Kelly,,23,Social Democratic and Labour Party,,upper-bann,female,doloreskelly,d.kelly@sdlp.ie
Upper Bann,16,12440,Simon,Lee,,111,Green Party,,upper-bann,Male,thesymbolic,
Upper Bann,16,12439,Carla,Lockhart,1,20,Democratic Unionist Party,,upper-bann,female,carlalockhart,
Upper Bann,16,12436,Ian,Nickels,,991,NI Conservatives,,upper-bann,Male,,
Upper Bann,16,3752,John,O'Dowd,1,24,Sinn Fein,,upper-bann,male,JohnODowdSF,
Upper Bann,16,19679,Nuala,Toman,,24,Sinn Fein,,upper-bann,female,NualaToman,
