Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender,Twitter,Email
Belfast East,2,8116,Andy,Allen,1,26,Ulster Unionist Party,,belfast-east,Male,AndyAllen88,andy@belfastuup.com
Belfast East,2,19719,Sheila,Bodel,,991,NI Conservatives,,belfast-east,Female,SheilaBodel,
Belfast East,2,13032,Joanne,Bunting,1,20,Democratic Unionist Party,,belfast-east,Female,Joanne_Bunting,
Belfast East,2,19745,Séamas,de Faoite,,23,Social Democratic and Labour Party,,belfast-east,Male,SeamasBelfast,
Belfast East,2,19687,David,Douglas,,20,Democratic Unionist Party,,belfast-east,Male,davy_douglas,
Belfast East,2,13035,Andrew,Girvin,,141,Traditional Unionist Voice,,belfast-east,male,CllrGirvin,
Belfast East,2,13037,John,Kyle,,994,Progressive Unionist Party,,belfast-east,male,cllrjohnkyle,
Belfast East,2,2454,Naomi,Long,1,19,Alliance Party,,belfast-east,female,naomi_long,naomi.long@allianceparty.org
Belfast East,2,13038,Chris,Lyttle,1,19,Alliance Party,,belfast-east,Male,Chris_Lyttle,chris.lyttle@allianceparty.org
Belfast East,2,19746,Jordy,McKeag,,21,Independent,,belfast-east,Male,,
Belfast East,2,19699,Georgina,Milne,,111,Green Party,,belfast-east,Female,Georgina_Milne,
Belfast East,2,13040,Robin,Newton,1,20,Democratic Unionist Party,,belfast-east,male,,
Belfast East,2,19680,Máiréad,O'Donnell,,24,Sinn Fein,,belfast-east,female,cllrmairead,
Belfast East,2,13041,Courtney,Robinson,,987,Cross-Community Labour Alternative,,belfast-east,Female,Coroweee,
